grid,threshold,method,accuracy,precision,recall,f1
3×3,1.0,global_phash_diff,0.41333333333333333,1.0,0.41333333333333333,0.5849056603773585
3×3,1.0,md5_changed,1.0,1.0,1.0,1.0
3×3,1.0,sha256_changed,1.0,1.0,1.0,1.0
3×3,2.0,global_phash_diff,0.41333333333333333,1.0,0.41333333333333333,0.5849056603773585
3×3,2.0,md5_changed,1.0,1.0,1.0,1.0
3×3,2.0,sha256_changed,1.0,1.0,1.0,1.0
3×3,3.0,global_phash_diff,0.41333333333333333,1.0,0.41333333333333333,0.5849056603773585
3×3,3.0,md5_changed,1.0,1.0,1.0,1.0
3×3,3.0,sha256_changed,1.0,1.0,1.0,1.0
4×4,1.0,global_phash_diff,0.41333333333333333,1.0,0.41333333333333333,0.5849056603773585
4×4,1.0,md5_changed,1.0,1.0,1.0,1.0
4×4,1.0,sha256_changed,1.0,1.0,1.0,1.0
4×4,2.0,global_phash_diff,0.41333333333333333,1.0,0.41333333333333333,0.5849056603773585
4×4,2.0,md5_changed,1.0,1.0,1.0,1.0
4×4,2.0,sha256_changed,1.0,1.0,1.0,1.0
4×4,3.0,global_phash_diff,0.41333333333333333,1.0,0.41333333333333333,0.5849056603773585
4×4,3.0,md5_changed,1.0,1.0,1.0,1.0
4×4,3.0,sha256_changed,1.0,1.0,1.0,1.0
8×8,1.0,global_phash_diff,0.41333333333333333,1.0,0.41333333333333333,0.5849056603773585
8×8,1.0,md5_changed,1.0,1.0,1.0,1.0
8×8,1.0,sha256_changed,1.0,1.0,1.0,1.0
8×8,2.0,global_phash_diff,0.41333333333333333,1.0,0.41333333333333333,0.5849056603773585
8×8,2.0,md5_changed,1.0,1.0,1.0,1.0
8×8,2.0,sha256_changed,1.0,1.0,1.0,1.0
8×8,3.0,global_phash_diff,0.41333333333333333,1.0,0.41333333333333333,0.5849056603773585
8×8,3.0,md5_changed,1.0,1.0,1.0,1.0
8×8,3.0,sha256_changed,1.0,1.0,1.0,1.0
