grid,threshold,tamper_type,avg_mr,max_mr,min_mr,avg_hd
3×3,1.0,blur,0.31,0.89,0.0,7.15
3×3,1.0,brightness,0.37,1.0,0.0,16.09
3×3,1.0,contrast,0.4,1.0,0.0,11.74
3×3,1.0,copy_move,0.24,0.44,0.11,34.71
3×3,1.0,crop,1.0,1.0,1.0,258.16
3×3,1.0,noise,0.93,1.0,0.56,85.02
3×3,2.0,blur,0.31,0.89,0.0,7.15
3×3,2.0,brightness,0.37,1.0,0.0,16.09
3×3,2.0,contrast,0.4,1.0,0.0,11.74
3×3,2.0,copy_move,0.24,0.44,0.11,34.71
3×3,2.0,crop,1.0,1.0,1.0,258.16
3×3,2.0,noise,0.93,1.0,0.56,85.02
3×3,3.0,blur,0.31,0.89,0.0,7.15
3×3,3.0,brightness,0.37,1.0,0.0,16.09
3×3,3.0,contrast,0.4,1.0,0.0,11.74
3×3,3.0,copy_move,0.24,0.44,0.11,34.71
3×3,3.0,crop,1.0,1.0,1.0,258.16
3×3,3.0,noise,0.93,1.0,0.56,85.02
4×4,1.0,blur,0.36,0.75,0.0,13.96
4×4,1.0,brightness,0.41,1.0,0.0,35.77
4×4,1.0,contrast,0.42,1.0,0.0,23.63
4×4,1.0,copy_move,0.18,0.25,0.06,51.72
4×4,1.0,crop,1.0,1.0,1.0,469.97
4×4,1.0,noise,0.94,1.0,0.56,164.67
4×4,2.0,blur,0.36,0.75,0.0,13.96
4×4,2.0,brightness,0.41,1.0,0.0,35.77
4×4,2.0,contrast,0.42,1.0,0.0,23.63
4×4,2.0,copy_move,0.18,0.25,0.06,51.72
4×4,2.0,crop,1.0,1.0,1.0,469.97
4×4,2.0,noise,0.94,1.0,0.56,164.67
4×4,3.0,blur,0.36,0.75,0.0,13.96
4×4,3.0,brightness,0.41,1.0,0.0,35.77
4×4,3.0,contrast,0.42,1.0,0.0,23.63
4×4,3.0,copy_move,0.18,0.25,0.06,51.72
4×4,3.0,crop,1.0,1.0,1.0,469.97
4×4,3.0,noise,0.94,1.0,0.56,164.67
8×8,1.0,blur,0.64,0.86,0.39,120.21
8×8,1.0,brightness,0.5,0.95,0.0,204.59
8×8,1.0,contrast,0.51,0.83,0.16,133.72
8×8,1.0,copy_move,0.1,0.14,0.06,142.84
8×8,1.0,crop,1.0,1.0,0.98,1928.38
8×8,1.0,noise,0.98,1.0,0.88,872.89
8×8,2.0,blur,0.64,0.86,0.39,120.21
8×8,2.0,brightness,0.5,0.95,0.0,204.59
8×8,2.0,contrast,0.51,0.83,0.16,133.72
8×8,2.0,copy_move,0.1,0.14,0.06,142.84
8×8,2.0,crop,1.0,1.0,0.98,1928.38
8×8,2.0,noise,0.98,1.0,0.88,872.89
8×8,3.0,blur,0.64,0.86,0.39,120.21
8×8,3.0,brightness,0.5,0.95,0.0,204.59
8×8,3.0,contrast,0.51,0.83,0.16,133.72
8×8,3.0,copy_move,0.1,0.14,0.06,142.84
8×8,3.0,crop,1.0,1.0,0.98,1928.38
8×8,3.0,noise,0.98,1.0,0.88,872.89
